Identifier,Comments,SubTask1,SubTask2
1246,कभी गाय को खेत में जुताई करते देखा है? हमेशा बैल को ही हल के साथ जोता जाता है। कुछ फिजिकल कर मेंटल डिफरेंस हैं जिनको बड़ी बड़ी बातें कर के नकारा नहीं जा सकता। आप क्या चाहते हैं लड़कियों की मेंटालिटी लड़कों जैसे हो जाए? वॉयलेंस नही होना चाहिए चाहे किसी का भी हो।,Neutral,None
4195,Hamare yaha aaram acid milta he 15 me koy nai sudhrega... Sab ko fansi honi chahiye,Optimistic,None
8755,Arehhh chutia he kiya....Auto se help ke liye v toh aa sakte he...jara pata toh karna chahiye,Pessimistic,Offensive
10931,"भारत में तो बहुत सारे रेप के केस दर्ज ही नही होते, इसपर भी कुछ कहोगे। ना लोग जागरूक हैं, ना ही पुलिस पावर वाले लोगो के खिलाफ FIR लिखती हैं",Pessimistic,Criticism
11751,"Kisi n koi galati Nahi ki puchke , jaha tk lgta hai , sbne akele dekh sirf apki chinta dikhai hai",Neutral,None
10268,Adhi rat ko konsa ofic khula rhta mtlb kch bhi😆,Pessimistic,Criticism
11644,सब कहीं अश्लीलता परोसी जा रही है टीवी सीरियल फिल्म में यहां तक कि अब तो सड़कों पर भी यह सब देखने को मिल जाता है माहौल ही ऐसा है तो फिर बलात्कार तो होंगे ही,Pessimistic,Criticism
5246,Bhad me Jaye sab hum apna kaam krenge...,Neutral,None
739,Ek word inhone sahi kaha .netaji .swami vivakanda ji.ambedkar. they are ream mard.means real men,Neutral,None
6350,Jab media reporter safe nahi toh aam ladaki ki kya halat hogi,Pessimistic,Criticism
8111,"इंडिया आज भी महिलाओं को लिये सुरक्षित नहीं है !!!!!! जब तक कानून व्यवस्था और पोलिटिकल जनता के हित मे कठोर कदम नही उठाते ,तब तक महिलाओं के लिये यह देश सुरक्षित नहीं है !!!!!! आज भी रात के समय गिधड शिकार की तलाश में घूमते रहते हैं !!!!!! पुलिस इंडिया में पहले से ही बदनाम है !!!!!!",Pessimistic,Criticism
7473,"Khoon ubalta hai mera ye sab dekhkar, Thoo hai aese Indians pe",Pessimistic,Offensive
12220,Ham Bihari hai medam katta ham khud rakhte hai izzat bahut jaroori hai,Neutral,None
526,"Abe vo tera ghar me hota hoga. Generally agar ek mithai ho toh bat jaata hai. Aur bsdk, tum padh raha ho aur teri behen tv dekh rahi ho aur bahar se kuch laana ho toh kaun laata hai?",Pessimistic,Offensive
5588,"akshay Viswambharan Abe o, aurto ki suraksha pe baat karna alag baat hai, aur usko Modi se jorna alag baat hai. Kyu bhadak raha hai itna? 300 votes kisi ko yuhi nahi milte. Tujhe Modi pasand nahi to theek hai bhai. Kon force kar raha hai tujhe?",Neutral,None
5316,lecropus mai yahi toh keh rha hu ki india developed country bnane ke liye hi mai aaj padh rha hu par aur sab log india ko criticise karte rehte har cheez mai .When we will focus on problem then we can beat any country in this world.👍,Optimistic,Suggestion
8418,Seriously pehly to hmy lagta tha Saudi Arab waly kitny khatarnak h Lykin ab report dykho to sabsy Kam crime rate unhi ka h Acha hoga vhi rule yaha par b Lagu hojaye,Optimistic,Suggestion
10683,FESLA KARNE SE PEHLE SAHE GALAT KE PARAH KARE CHAHIYE.......,Neutral,None
5632,Who is the next pm for dhruv rathee the world famous pappu rahul Gandhi..jo hinduo ko badnam karta h aur dhruv rathee ko jhat bhi farak ni padta usse this proves how hypocrites is this guy. Slam him when he is seen on road this will be best for him...Bhai tu nikal ja India se varna koi hindu hi tujhe uda dega ye meri baat dhyan me rakhna,Pessimistic,Criticism
1814,Anand Singh no mai bilkul aisa ni sochti.... Sb human h... Sbme achhe or bure hote h....,Neutral,None
2210,ya Sharma fashion model photography me ladkiyon ko jayada pay karte hain,Neutral,None
11257,USA murdabaad😡😡😡😡aisa hi hoga kya bahut tarkki kr lo aisa hi apke aur hamare country me hoga to sab kuch bekar hai . Shiksha ke sath . Sath aur bhi jarroori hhai aapke desh me 🙏🙏🙏🙏🙏🙏,Pessimistic,Criticism
11166,"Arey tihadi uncle, America ki baatein mat kiya karo, rape to India me bhi ho rahe hai,,,, waaah Khate yahan ki ho magar khabar bus China, Pakistan aur America ki dikhate ho",Pessimistic,Criticism
2634,"no problem, ye sab to choti Moti bate Hain. Words pe mat jao, baat ki gahrai ko samjhao :p",Neutral,None
5957,"sach mat bolo bhakt gussa ho gayege , inko sach sunna pasad nahi",Neutral,None
8940,"nisha Chauhan Aurat pair ki juti hai ,ek baar bola hai baar baar bolungaa .. khaas karke tere jaisi aurat . Women who demand respect deserve a middle finger . Do something that would make people respect you instead of demanding and begging for it.",Pessimistic,Offensive
7151,Lutwane toh gaye thi. Police saath Mein lekar gaye thi Jo police ayegi. Safety k liye saath Mein lena chahiyethi na,Neutral,None
7836,"Tum bhi dheele hi ho bikul jab dek Lia vo peecha kar rha hai to aarest bhi to karvate usse , yuhi chor diya use ..., Puri team hi bevkuf hai Kya",Neutral,None
12649,Ha ha.. proud to be bihari Bihar ke political parties ke karan sirf Bihar badnam hai sirf..,Pessimistic,Criticism
441,Women ke liye reservation hona hi chahiye.....,Optimistic,Suggestion
4518,Kas mere parents bhi else hote Mera bhi Sapna Pura ho jata,Neutral,None
9368,Delhi dil walo ki nahi haramio ki hai,Pessimistic,Offensive
7831,Ye log bevkuf h sath me police v hone chahiye taki in kutto ko pakd ke inki mar li jye achhe se taki tanka v lgana muskil ho,Pessimistic,Offensive
10240,KG wale khudka topi dong se pehen Nahin sakta woh Kya Delhi chalaega,Pessimistic,Criticism
11968,Are paglo to Kya dikkat hai puchhne me aise dikha rahe ho jaise Kya ho Gaya ho Koi v puchhega help ko itni rat ko police k liye bol sakte ho but Jo puchh rahe Hain vo galat nahi hain,Pessimistic,Criticism
10378,"Raksha bandhano se nahi balki bandhan se hoti hai, Rishte ke bandhan se , lekin tum nahi samjhogekynki tumko Hindu dharm ,Samaz ki paramparo ke prateeko ko girana hai aur pana propaganda bhi chalna hai ,kitana liberandu ke beech secure hoti hai women ye aaj sabhi jante hai ,women ko liberalism ke naam par itana adhik nanga kar do ki tumhara kaam bhi ho jayeaur uss mahila ko iska abhas bhi na ho paye ki wo sab kuch gava chuki hai aur saare liberandu -leftist bhediyo ke yahi ek udeshya hai aur samazik paramparaye ,rituals,sanskar unhi mahilao ko ek protective cover dete hai jo ki bediyo se unko door rakhne me shayak hota hai aur bhediye ussi ko ridicule ,criticize karke todne ke shadyantra me lage hai ,lage raho ,samaz ko ,khas kar mahilao ko tumhara ye game saamjh me aa raha hai ab",Pessimistic,Criticism
310,"जहाँ आसाराम बापू बाबा गुर्मीत राम रहीम जैसे धर्मगुरू और चिंनमःयानंद ,उन्नाव का bjp mla जैसे नेता हो तो ,बलात्कार तो होणे ही वाले हैं..",Pessimistic,Criticism
9845,Sarkar delhi ko abbi tak puri tarha se girls k liye safe q nhi kar pa raha he.,Pessimistic,Criticism
2023,"Bhai apni security badha lo, aap jaiso ko jeene nahi deta ye corrupt world, please stay safe and strong and keep creating what you have promised , hum aapke saath hai. Jai Hind.",Neutral,None
2851,Chutiye aadmi .. bas gyan mat do .. sabko pata hai jo tu bol rha h.. kuch kar ke bhi dikha society mai,Pessimistic,Offensive
11126,"हमारा भारत अभी भी बहुत ठीक है और आगे भी रहेगा। हम भारतीयों में कुछ ऐसा संस्कार है कि हम किसी की भी बहन,बेटी की इज्ज़त लूटते नहीं देख सकते । चाहे क्यों न हमारी जान चली जाए। जय भारत माता की 🙏🌹🙏 I love my India",Optimistic,Appreciation
6859,Camera dekha chla gya camera dekha chla gya.. toh chutiyon camera dhikane ko lagaya tha kya bc.... Salo ko pkdo.. police rakho na sath,Pessimistic,Offensive
7032,Ye sale sb milke Hume gandu bna rhe h 😀😀,Pessimistic,Offensive
9392,Meri Piyaari Behano Raat Ko Dheli Mein Aakele Mat Nikla Karo . Iska MATLAB Dheli Dil Walo Ki Nahi Balatkariyon Ki Hai,Pessimistic,Criticism
12062,Bihar jindabaad . Sbhi koi help krrhe h .,Neutral,None
10034,Bhai q logo ko aadha sach dikha rhe ho? Inki itni himmat is liye hui kyoki cybercity me is tym only probation chalta h. Ye bhi to batao,Neutral,None
491,"I agree with all that, but i request everyone to consider a few things:- 1. Domestic violence hota h, no doubt, but kyi cases m females fake scenarios create krti hein violence k and i know, maybe wo family wale kuch glt kr rhe honge shaid tbhi wo kr rhi ho, but trika to uska bhi sahi nhi h na. 2. There are some cases , jaha ek female kisi k sath mate krti h, and usse insist krti h, to not use protection and then usko blackmail krti h shadi k liye or male mna krde to rape case lga dia jata h. 3. Jo bahr niklne ka scene h, wo ab jadatr chhote cities m ya towns m h, bde cities m ldkiyo pr itne jada restrictions nhi hote, but ha males k comparison m abbi bhi kaafi h, but iska kaafi hadd tkk reason males hi hein, hume raat beraat koi ldki bahr dikhe to hmare mann m poori film bann jaati h, or fir hum yehi sochte hein ki hmari family ki females ko bhi baaki males issi najriye se dekhte honge...isliye hum unko bahr nhi niklne dete. Ab jab sb log iss cheej ko smjhenge tbi kuch acha ho skta h",Pessimistic,Criticism
4395,Apne jk kha such bola mam apne hinmat ki yai bhut bdi baat hai her koi nhi krta koi to dur kai chup hi rh jate hai am prouf ho you mam,Neutral,None
7171,Kay karte hai modi sarkar ....sbkuch karni ko bolte hai lakin us kam ka kay fayda jaha .....ladki safe na rahe.........kar karte h police wale riswat bs...............kam chor h sb.....are karna he hai na ek kam.kro.......please...aram wali bande ko ek bar duty lagao Delhi me ...or police walo ko boder me.......keasi ki baap ki takat ni jo ladki ko haat laga sake........wahe to zinda maar degi..............100 dusman ki barabar ek army wala bari pd jata h un logo ki kay aukat ...ladkiyo ko bura bolna or bura karni ki... wahe bi zinda maar dengi,Pessimistic,Criticism
2360,"Ladka Aur ladki dono ko lagta hai ki wo superior hai. But asal mein dono adhure hai, they together becomes complete one unit.",Optimistic,None
6083,"salman Bhai you know I agree that some women do over react but the problem is ki daily jab roadside Romeo subha shaam Harr gali me milte hain toh over time ek darr baith jata h. Kaise pata kaun genuinely bass baat Kar raha hai aur kaun harmful niklega. Upar se boys ki bhi mentality bohot kharab hoti hai. Hass ke jawab Dene wali ladki is ""asking for it"" isliye girls don't even want to talk to boys. Isliye schools me bhi only some boys have female friends kyunki girls don't like other boys who they think might not be safe. Yeh problem dono taraf see hai.",Pessimistic,Criticism
10689,Sister just be careful love jihad aise hi shuru hota hai 😊,Pessimistic,Criticism
1800,AGAR HUM RAJPUT ITNA SECULAR BANENGE TO ANE WALI SARKARE HUME AUR KAMZOR KAR DEGI AUR EK DIN KHATAM,Neutral,None
7342,Bhai chutiye tumlog ho Malum h ki kuch hone vala h toh 2-3 guard bhi rakhne Thai aur voh hi time Pai USS admi ko dhar dabochna tha Police arrest karegi phir case chalte jayega chalte jayega usse Acha USS MC ko udhar hi bajana thaa!,Pessimistic,Offensive
9587,jabtak mansikta badne jay yubamai tabtak esahi halt rhenge,Optimistic,Suggestion
4534,"Achi pita sabko mile, mere dushman ko bhi... Papa k spprt na hone se kiya hota h pta h mujhe... 💔",Neutral,None
9711,Bhai yah raat ko ladki ki help bhe karne jao toh ulta fas jaate hai bc😂,Pessimistic,Offensive
11123,Jo log train me baithe the Vo bhi Ek Tarah se blatkari huye,Pessimistic,Criticism
150,affron Sky you have wrong sources sir... lifebuoy ka ad dekhna bnd kariye 99%,Neutral,None
10756,bahut saare mere bhatije hain bhai . 😁😁,Neutral,None
9208,fir aaplog us ldke ki maa q ni chod diye.. jb itta kch ho gya to karwayi krna chahie tha uspr..,Pessimistic,Offensive
414,"Aapka kaam bahat hi acha hai. Mera, mere family n friends sabka support hai aap ki soch ko.👍",Optimistic,Appreciation
10114,Mansikta badalni hogi ese logo ko,Optimistic,Suggestion
3150,Bunny zitna bhi karle tum ladke to apne aapko pata nehi kya samjhlete ho.... Tum ladke kabhi nehi chahte ki ladkiyan aur ladke equal ho jaye...🤣🤣🤣 Warna Ladkiyon ko dabake rakhne mai maja loge kaise hai na??? Ek aur female heater ki sarii had par...🤣🤣🤣🤣🙏🙏🙏🙏🖕🖕🖕,Pessimistic,Offensive
10388,"isliye log aaj kal help nhi krte highway pe ya alone road pe kyuki girl apse help mangegi fir wo aage jaake apne 8-10 boyfriends ko leke pura loot leti hai, aise case U.P mein Delhi mein bht ho rhe hain",Pessimistic,Criticism
9219,ese log men nhi hain ve namard hai . Delhi badnam shirdi in chhutiyon ke karan badnam hai .,Pessimistic,Offensive
7025,Raat ko highway pr gyi he kyu log to samjnge ki koi 2 no wale honge,Neutral,None
9108,OUR MANGLORE IS BEST.PEOPLE HELP EACH OTHER...MAHILA HONKO SAFE JAGAHA HE HE MANGLORE HE..,Optimistic,Appreciation
1021,so sweet of u bro.....jese aapne humara dard samjha he or jitne achhe se bataya he uske liye bahut bahut dhanyavaad....stay blessed,Optimistic,None
2967,ili Jhut bolna islam mein sab se bada ghuna(sin) hai... ab tum hi samjhao.......mein gawar ho ya nahi hoon...,Neutral,None
597,Bhaiya aap bhahut achhi baat karte h,Optimistic,None
1778,"Tata industry itna Tax bharti hai india ma akela jitna, pura USA ki womens nahi bharti. kiski company hai male ki hai na🤣",Neutral,None
548,Aap ki har bat sahi hoti hai you are great sir 🙏🙏💝,Optimistic,Appreciation
3722,Y sale dogle ese ldke ldkiyo p kyu esa krte h y namrd h mrd nhee,Pessimistic,Offensive
1500,"Tum kya nehi samjhe wo bolo, phir mai samjhata huu",Neutral,None
10975,India me ye sab hota bhi hi to koi nahi bolta,Pessimistic,Criticism
11415,"अगर ये सब खुले आम होता है तो बिना इन्वेस्टिंग के ऊस आरोपी को जगह पर ठोक देना चाहीये, मतलब उसे परलोक भेज देना चाहीये । जो व्यक्ती आरोपी को मारेगा उसे कानूनन छोड देना चाहीये ।",Optimistic,Suggestion
9034,Pure delhi wale hi sale gandi mansikta k shikar hain,Pessimistic,Offensive
12206,"क्रपया ध्यान दें-----पटना-मत सटना,,, बकसर-हाल कर दूंगा बदतर,,,दरभंगा - भिड़ना पड़ेगा महंगा,,,नवादा- उखाड़ दूंगा तेरा प्यादा,,, सीवान- सीने में है जान,,, रोहतास-करके रख दूंगा बांस,,, आरा- इसने सबकी मारा,,,, मुंगेर- हो जाओगे ढेर,,, बेगुसराय- खूब होगी लड़ाई,,, लखीसराय- संय्या की चोदाई ,,,,, मोतिहारी - बापू ही भारी,,,,",Neutral,None
4173,Mam apka hair bahut Achcha hai,Neutral,None
12199,Abne ache se to pucha... K koi pro nai he na.. Pucho to pro na pucho to pro.. Kya yaar..,Neutral,None
11559,Navy vacancy ko% base hatne ke bare me boliye sir😭😭😭😭,Neutral,None
1752,Bhai india dalal hai gawaar hai sabb india mei sach mei bhaag jao india se,Neutral,None
4178,eer Luhar Shut up tumhe kaya prblm hae agar maine tumhe report karde,Neutral,None
5952,"dekh MODI JI ne ka kamal, hame no. 1 bna diya",Neutral,None
10852,are saare help hi krte h...,Neutral,None
12681,shek Kumar aaysa nahi hey bhai ..the thing is that ye johh reporting kar rahi hey un ladkiyo ko aacha nahi laga help layna,Neutral,None
11317,Log kyu bolenge.... Wha Sex ko to Enjoyment khte hai Modern jmana khte hai to log kyu bolenge..........,Pessimistic,Criticism
12432,Yar koi madat kar raha hai uska matlab hamesa galat nahi nikalna chaiye,Neutral,None
9461,Inke against complained ku nhi ki,Neutral,None
10307,​@Sonu Kumaryam hai ham...ham hai yam😁😄,Neutral,None
4179,what to me Me yeh rahi hu report mat karo Fir me msg nahi karungi,Neutral,None
7323,Delhi ko rape capital name barabar diya hai..waha ke log capital of india khelane ke liye kuch nhi karti hai,Pessimistic,Criticism
2629,Aur sabse easy kaam hai Gyan chodna...,Pessimistic,Offensive
7568,ऐसे लड़कों की मां एक आदमी के साथ नहीं सोई होगी तभी तो ऐसे लड़के पैदा होते हैं ए सब नाजायज औलाद है इनके कितने बाप है ये इनको या उनके मां को भी नहीं पता है तो दोगले के औलाद दूसरे का इजाज़त क्या करेंगे,Pessimistic,Offensive
468,Bhagwaan ka sukr hai ke uno ne mereko ladki nhi bnaya wrna mere life kitne mushkil hote... Kyuki bina dimag ke life zinaa kitna mushkil hai😂😂,Pessimistic,Criticism
3059,Capt Ranvijay Rana Parents bolte hai metro city se hi better rahega understanding ke liye. Saath mein kaam kar loge. Lekin unhe ye nahi pata ki kafi premarital sex bhi kar chuki hai aur mujhe meri girlfriend ne dokha diya tha. Ab unhe kaise samjhaun.,Neutral,None
11,aana to pdega na kbhi yaha pe padhai ke liye bahar hu m🙂. It's not abt India it's abt the people living hre!,Neutral,None
1819,jhuthi shaan matlab ? Kya rajputo ki jhuthi shaan being a rajput girl ... reading history created by congress you accept that we have jhuthi shaan ....... to pair prithiviraj chauhan kaun tha,Neutral,None
2948,Bhaiya aapko bjp join karni chahiye kyonki congress aur leftist wale Rahul gandhi ko hi apana raja beta man kar baithe hai kam se kam bjp me tejasvi surya jaisa mauka toh milega,Neutral,None
5947,Yeh ek sharmnak baat hai humhare Desh ke liye. Jab tak corruption rahega tab tak India kabhi develop nahi hoga. Fake news is cancer for India. Superstitious people are more dangerous than corrupted politician.,Optimistic,Suggestion
6166,Bhai tu sach bolta h or sbki le leta h ❤😂😂😂,Neutral,None
9511,Ye police wale kuch nahi karte hai samjhe aap?? Warna aisa nahi hota capital mein. Police ki galti hai sarri,Pessimistic,Criticism
3745,Us inshan Ko jahanam mein bhi jagah na mile,Neutral,None
2857,Didi ji tere liye hmm kyu kharab honge,Neutral,None
4717,Har ladki ko n milta...kisi ko papa ka to kisiko pata b support n milta,Neutral,None
1177,"Sir main reason ladkiya or women ka khud,,most of ka mindset bhut glt h abhi bhi that's why",Pessimistic,Criticism
195,✨✨✨ han bhai thik hai mahisasur god tha bas bro she is just giving an example of a godess jisko har woman mein dekha jaata hai,Neutral,None
8091,isme Aus Ladke ka qusur he bhi Aur nahi bhi he bcause Randiya Ratko dhanda karne jeans pent me hi Road par khadi Rahti he Dusri bat reporter ko Use bolna chahiye tha koi bhi vajah batani thi ki mujse Aesa koi bhi hadsa huwa he ya koi madad ki zarurat he fir jo rijult Aata vo Reall hota Sabhi lutere Aur raper bhi nahi hote koi madad gar bhi hota he,Neutral,None
11735,"Gang Rape, karne wale Mandir k Balatkari bhi gyan pel rahe hai. 😁😁",Pessimistic,Offensive
5990,Ache din aa Gaye lagta hai... India at #1 finally....sheh good work Dhruv!!!,Neutral,None
211,"Dekho 3 ladke jab baithe tab nhi jana chaiye main bhi ye baat maanta hu kyu kyuki humari sarkaar nikammi hai unki maa beti ke saath aisa nhi hoga issiliye wo iss topic par nischit rehte hai aur ye bjp ,congress ki baat nhi india mein acchi education ki kami hai politics ki kami hai issliye humare Desh mein rape humesha hota rehege.",Neutral,None
7983,Chauhan please just ask any women in the world ke konsi country me woh safe feel karegi usa uk or india even jo indian women bahar jaa kar aayi hai unse bhi puchna kisi ka bhi jawab india nhi hoga,Neutral,None
4364,Di sahi kaha apne Ager maa pita apne bacho per barosa kare to koi bhi baat wah bina dare sab apne gher mai bata de.,Neutral,None
4378,Sale sb attacer ke ristedar lgte h n issliye,Pessimistic,Offensive
5505,Mujhe yeah nahi samaj aata ki congress 67 years se vikas kar rahi hai to dollar ki value badti jah rahi hai aur rupee value ghat rahi hai Initial value at 1947 1rupee = 1dolar After taking loan from other country by congress 1 dollar = 67.84 rupee,Neutral,None
7729,Ye whi h jo balatkaar k baad candl lekr aate h or balatkariyon ko goli mardene pe jo bheed fool ki barish kr rhi thi ye us bheed ka real face h😡😡😡😡😡har ghr me aise balatkari bhade pde h,Pessimistic,Criticism
5069,Bhai porn band kar denewali baat thik kahi aapne...par unemployment ki wajah se log rape karte hai ye baat sahi nahi hai agar aisa hota to duniya ka har ek retired mard rapist hota ....logo mein agar achhe sanskar ho to kabhi bhi women's safety ko lekar koi problem hi nahi hogi,Optimistic,Suggestion
12166,"Or jo bande ne bola jab tk koi aata nhi to main yhi khara rhunga too, woo aapki hifazat chhataa hai. Na kii uske mann me koi napak irada haii,,, ........",Neutral,None
4902,Jb tk ye politicians har chiz m politics ghusqty rhenge tb tk koi mudda ni sudhrega,Pessimistic,Criticism
10579,To bhosdiwala hass kyun rha tha jb help hi Krna tha to 🤦🤦,Pessimistic,Offensive
3908,Jo jo inke baloko pasand hai wahi like kar 👇 👇 👇 👇 👇,Neutral,None
578,Hmmmm bilkul bakwas vdo. Papa ki pari sabd sayed isn't nhi suna,Neutral,None
11831,nautanki news bihar ke log apna samjhte h,Neutral,None
10135,Sidha dikh raha hai agar camera nahi bhi hota toh kya driver tha door toh open hua nahi its obvs car leke nikal jaata or kya hota tharkii reporter,Pessimistic,Offensive
8937,"tu jis se v shaadi karega wo duniya ki sabse unlucky ladki hogi pakka...ab dhoond le sati sabitri khud k liye,,,tujh jaisa neech soch ki ladka hi aisa kam karta hai...are Raat ko kisi office ka kam v toh ho Sakta hai,, btw tujhe samjha na mtlb bewokoofi karna... Mujhe feminist ka pata nhi par tu kis amavas ki paidaish hai ye pata lag gya",Pessimistic,Offensive
4001,Mam aap bahot himmat wali ho,Neutral,None
9543,Wow... aese h hamare desh ke youths jo tumhara delhi.. tumhara assam... kr rhe inhe ye bhi batana pdega ki ye sb hindustan me aata h.......or ham pagal Hindustan ko world me no. 1 banane ka dream rkhte h,Optimistic,None
603,are you living in 1980 ladkiyo ke pass aaj ke time sarey laws hai aur sarey powers hai jo men ke pass hai equality both side hai❤️❤️❤️❤️,Optimistic,Appreciation
10974,Jo log train me tamasha dekh rhe the unhe bhi fanshi honi chaiye 😡,Neutral,None
7083,Baat to esi hai ki raat me phli baat koi niklta nahi or wahi ladki nikalti hai jo dhandha krti hai issi chakkr me logo ko or galat fehmi ho jayegi ki wo use ese hi smjh lege isi chakkr me or ched dete hai chalne ko bol dete hai,Pessimistic,Criticism
3335,At 9.32 second nice fact. Bus me Agar kandha touch hone se jo insaan khus ho jaata he woh insaan nahi....,Neutral,None
10440,A vdo harr jagah failao taaki koi galat ladka ladkiyo ki taraf gandi nazron se nhi dekhe uss ladki ko kabhi uncomfortable feel na karaye aur apni behen ki jaise maane,Optimistic,Suggestion
10288,But sb yhi smjhti hai ki hr koi ek jaisa h🫠,Neutral,None
8833,Desh ka kanoon sakhat ho jaye to ak guda nai nazar aayga,Optimistic,Suggestion
2745,"A p asli indian women, kam karne se khud kamke khane se nahi darte",Optimistic,Appreciation
546,"Women also pressing women sasu maa ,maa,bua ,chachi ye sab ladaki ke sath ohi haal krte hai",Pessimistic,Criticism
4663,Main support hi nahi milta aksar ladkiyo\womens ko,Neutral,None
7998,Delhi ka koi bhi metro station ly lo koi safe nahi hai shadipur special at night,Pessimistic,Criticism
8824,सीधी सी bat h मीठा ko खुला chhoroge to मक्खियां lagegi hi,Neutral,None
10906,nu rag toh tuh kya chahta hain ... ager koi brahmans yah thakur kisan hain toh usko bhi tax dena padega kqu ki voh upper cast se hain....kya chutiye Valli baat ker teh ho,Pessimistic,Offensive
8743,पुलिस साले खा खाक र। भैस हो गए है व्व क्या काम करेंगे इसमे सबसे बड़ा जिम्मेदार सरकार है जिसको प्रशासनिक व्यवस्था में अनुशासन व नियम बरकरार रहने कहहिये,Pessimistic,Offensive
5344,ikes का भिखारी • 32 days ago oh ok ...☺️,Neutral,None
2731,Best best best best best kitni Baar Kahu sir ....aisa lag rha h ki Maine ye aapko likh ke Diya h aur aap wo saari baatein keh rhe Hain Jo main Kisi ko sunana chahti hu ....loveyou sir 🙏🙏 speechless 😭,Neutral,None
10180,armaan asthetic bilkul sahi kaha... raat ko 1 baje koi achhi ladki kyu gumegi... adhi raat ko sirf call girl hi ghumte hai... toh ladke ne bilkul call girl hi samjha hoga iss reporter ko...,Pessimistic,Criticism
6114,Bjp ne hud kr di ab toh,Neutral,None
5387,Tu ek baar kisi se khul ke baat kr....,Neutral,None
1932,Ye bhai NDTv aur the wire jaise logo se zada prabha vit h are bhai hume ye pata h,Pessimistic,Criticism
4277,Kas sab log aapke Jese sochte,Neutral,None
12338,Abp tmse behtr patna ko mai janta hu,Neutral,None
10485,Jaha kahi bhi sanatani log h mahilao ki help kre aur gande logo aur jihadiyo se rksha kre ...jay Sikh jay jain jay hindu,Pessimistic,Criticism
8457,Kisi ne kuch kiya bhi to nahi madad karenge to bolenge ki rap karne le ja rahi haj gadi mwy bhar ke,Neutral,None
10421,Hamare desme aaj bhi insaniyat jindahe Or yahi hamare deski pehchan he I love india,Optimistic,Appreciation
